Time,Queue 0,Queue 1,Queue 2,Queue 3,Queue Fin,Demand Queue,Machine 0 Busy,Machine 1 Busy,Machine 2 Busy,Machine 3 Busy,Machine 0 TimeRemaining,Machine 1 TimeRemaining,Machine 2 TimeRemaining,Machine 3 TimeRemaining,Action M0,Action M1,Action M2,Action M3
330,88,1,2,0,20,98,1,1,1,0,9,1,4,0,False,False,False,False
331,88,1,3,0,20,98,1,0,1,0,8,0,3,0,False,False,False,False
332,88,0,3,0,20,98,1,1,1,0,7,2,2,0,False,True,False,False
333,88,0,3,0,20,98,1,1,1,0,6,1,1,0,False,False,False,False
334,88,0,4,4,20,98,1,0,0,0,5,0,0,0,False,False,False,False
335,88,0,0,3,20,98,1,0,1,1,4,0,16,2,False,False,True,True
336,88,0,0,3,20,98,1,0,1,1,3,0,15,1,False,False,False,False
337,88,0,0,3,20,97,1,0,1,0,2,0,14,0,False,False,False,False
338,88,0,0,2,20,97,1,0,1,1,1,0,13,2,False,False,False,True
339,88,4,0,2,20,97,0,0,1,1,0,0,12,1,False,False,False,False
340,84,3,0,2,20,96,1,1,1,0,16,2,11,0,True,True,False,False
341,84,3,0,1,20,96,1,1,1,1,15,1,10,2,False,False,False,True
342,84,3,1,1,20,96,1,0,1,1,14,0,9,1,False,False,False,False
343,84,2,1,1,20,95,1,1,1,0,13,2,8,0,False,True,False,False
344,84,2,1,0,20,95,1,1,1,1,12,1,7,2,False,False,False,True
345,84,2,2,0,20,95,1,0,1,1,11,0,6,1,False,False,False,False
346,84,1,2,0,20,94,1,1,1,0,10,2,5,0,False,True,False,False
